Pais;Jugadores;Porcentaje;Arqueros;Defensa;Medio_Campo;Delanteros;Goles;Goles/Jugador;Amarillas;Amarillas/Jugador;Rojas;Rojas/Jugador ;Longitud;Latitud
Bielorrusia;4;0.04;0;3;1;0;0;0.00;20;5.00;2;0.5;28;53
Surinam;4;0.04;0;0;2;2;46;11.5;32;8.00;3;0.75;-56;4
Filipinas;4;0.04;1;1;1;1;9;2.25;0;0.00;0;0.00;122;13
Kosovo;4;0.04;0;1;2;1;6;1.5;32;8.00;2;0.5;20.54;42.36
Guinea Ecuatorial;4;0.04;0;0;0;4;45;11.25;40;10.00;5;1.25;10;2
Finlandia;4;0.04;0;2;1;1;5;1.25;28;7.00;3;0.75;26;54
Guinea;4;0.04;0;0;0;4;18;4.5;29;7.25;1;0.25;-10;11
Arabia Saudi;3;0.03;0;0;3;0;0;0.00;1;0.33;0;0.00;45;25
Mauritania;3;0.03;0;2;1;0;9;3.00;24;8.00;1;0.33;-12;20
Guinea Bissau;3;0.03;0;1;0;2;2;0.67;0;0.00;0;0.00;-15.35;11.51
Lituania;3;0.03;1;1;0;1;21;7.00;20;6.67;5;1.67;24;56
Canada;3;0.03;1;0;2;0;6;2.00;43;14.33;4;1.33;-123.6;49.17
Gabon;3;0.03;0;1;1;1;0;0.00;2;0.67;0;0.00;11.45;-1
Albania;3;0.03;0;0;2;1;0;0.00;1;0.33;0;0.00;19.49;41.19
Georgia;2;0.02;0;0;0;2;1;0.5;1;0.5;0;0.00;43.30;42
Togo;2;0.02;0;1;0;1;6;3.00;17;8.5;1;0.5;1.10;8
Gambia;2;0.02;0;0;1;1;9;4.5;7;3.5;1;0.5;-16.34;13.28
Kenia;2;0.02;0;0;1;1;3;1.5;1;0.5;0;0.00;38;1
Andorra;2;0.02;0;0;1;1;0;0.00;0;0.00;0;0.00;1.36;42.30
Letonia;2;0.02;0;1;0;1;1;0.5;9;4.5;0;0.00;25;57
Sahara Occidental;2;0.02;0;0;2;0;2;1.00;9;4.5;0;0.00;-12.07;25
Iran;2;0.02;0;0;1;1;32;16.00;52;26.00;3;1.5;53;32
Republica del Congo;2;0.02;0;0;2;0;0;0.00;1;0.5;0;0.00;15;-1
El Salvador;2;0.02;0;1;0;1;43;21.5;10;5.00;0;0.00;-88.55;13.49
Burkina Faso;2;0.02;0;1;0;1;3;1.5;6;3.00;1;0.5;-2;13
Liberia;1;0.01;0;0;1;0;0;0.00;1;1.00;0;0.00;-9.30;6.30
Nicaragua;1;0.01;0;1;0;0;1;1.00;10;10.00;0;0.00;85;13
Qatar;1;0.01;0;0;0;1;0;0.00;2;2.00;0;0.00;51.15;25.30
Tailandia;1;0.01;0;0;0;1;0;0.00;0;0.00;0;0.00;100;15
Uganda;1;0.01;0;0;1;0;10;10.00;3;3.00;0;0.00;32.17;1.22
Puerto Rico;1;0.01;0;0;1;0;3;3.00;0;0.00;0;0.00;-66.35;18.13
Republica Dominicana;1;0.01;0;1;0;0;5;5.00;8;8.00;0;0.00;-70.40;19
Moldavia;1;0.01;0;0;1;0;2;2.00;0;0.00;0;0.00;29;47
Madagascar;1;0.01;0;0;1;0;0;0.00;0;0.00;0;0.00;47;-20
Egipto;1;0.01;0;0;0;1;4;4.00;3;3.00;1;1.00;30;27
Santo Tome y Principe;1;0.01;1;0;0;0;0;0.00;2;2.00;1;1.00;6.36;0.11
Estonia;1;0.01;0;0;1;0;68;68.00;85;85.00;6;6.00;26;59
Tayikistan;1;0.01;0;0;1;0;0;0.00;0;0.00;0;0.00;71;39
Burundi;1;0.01;0;0;0;1;24;24.00;11;11.00;1;1.00;30;-3.30
Azerbaiyan;1;0.01;0;0;0;1;4;4.00;1;1.00;1;1.00;47.30;40.30
China;1;0.01;0;0;0;1;0;0.00;0;0.00;0;0.00;105;35
Tunez;1;0.01;0;1;0;0;0;0.00;8;8.00;0;0.00;9;34
