CENTRO,ANIO,MES,INCIDENTE_POLICIAL,INCIDENTE_TRANSITO,INCIDENTE_SALUD,INCIDENTE_SERVICIOS_MUNICIPALES,INCIDENTE_BOMBEROS,INCIDENTE_GESTIÓN_DE_RIESGO,INCIDENTE_MILITAR,TOTAL_DE_INCIDENTES_RECEPTADOS
QUITO,2015,ABRIL,36.110,7.271,8.036,1.829,1.201,395,95,54.937
QUITO,2015,MAYO,38.381,7.784,9.046,1.502,1.197,269,102,58.281
QUITO,2015,JUNIO,35.564,7.267,8.293,2.316,1.865,336,99,55.740
CUENCA,2012,MAYO,3.453,494,1.320,9,151,22,"",5.449
CUENCA,2012,JUNIO,3.967,624,1.330,1,266,19,2,6.209
CUENCA,2012,JULIO,4.444,785,1.398,-,512,24,2,7.165
CUENCA,2012,AGOSTO,4.305,765,1.410,2,1.017,21,1,7.521
CUENCA,2012,SEPTIEMBRE,4.819,1.023,1.584,2,1.278,17,6,8.729
CUENCA,2012,OCTUBRE,5.634,1.966,1.675,203,557,29,4,10.068
CUENCA,2012,NOVIEMBRE,6.589,2.002,1.653,188,348,15,2,10.797
CUENCA,2012,DICIEMBRE,10.039,2.214,1.946,297,411,11,1,14.919
CUENCA,2013,ENERO,10.289,2.217,1.783,343,380,18,8,15.038
CUENCA,2013,FEBRERO,9.124,1.973,1.614,259,249,25,11,13.255
CUENCA,2013,MARZO,10.211,2.222,1.902,300,312,15,2,14.964
CUENCA,2013,ABRIL,10.307,2.572,1.912,319,481,9,4,15.604
CUENCA,2013,MAYO,10.599,2.927,2.106,389,300,136,8,16.465
CUENCA,2013,JUNIO,10.309,2.608,2.035,331,373,17,-,15.673
CUENCA,2013,JULIO,9.450,2.347,1.932,298,406,16,3,14.452
CUENCA,2013,AGOSTO,9.032,2.236,1.946,398,521,7,2,14.142
CUENCA,2013,SEPTIEMBRE,9.211,2.471,1.976,497,795,6,1,14.957
CUENCA,2013,NOVIEMBRE,10.350,2.660,2.251,357,736,5,4,16.363
